vacancy_name,min_salary,max_salary,currency,company_name,company_city,vacancy_link,website
Стажер Data scientist,,,,Сбер. IT,"Москва, Кутузовская и еще 1 ",https://chelyabinsk.hh.ru/vacancy/82823298?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
"Data Scientist, Маркетплейс, Антибот",,,,Ozon Информационные технологии,"Москва, Выставочная и еще 2 ",https://chelyabinsk.hh.ru/vacancy/82923962?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Scientist (Хаб юр.лиц),,,, Альфа-Банк,"Москва, Технопарк",https://chelyabinsk.hh.ru/vacancy/82921710?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Analyst / Data Scientist (Junior/Junior+),,,,Kept (Кэпт),Санкт-Петербург,https://chelyabinsk.hh.ru/vacancy/82331776?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Analyst / Data Scientist (Junior/Junior+),,,,Kept (Кэпт),Москва,https://chelyabinsk.hh.ru/vacancy/82331777?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Scientist / ML-инженер,,,,Медиалогия,"Москва, Дмитровская",https://chelyabinsk.hh.ru/vacancy/82826539?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Портфельный риск-аналитик / Middle Data Scientist (модели кредитного риска),,,,ООО Элемент Лизинг,"Москва, Кутузовская и еще 1 ",https://chelyabinsk.hh.ru/vacancy/82421077?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Engineer (Middle),,300000,₽,Rubbles,Москва,https://chelyabinsk.hh.ru/vacancy/83411747?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Младший аналитик,60000,80000,₽,ООО Программная Палата,Санкт-Петербург,https://chelyabinsk.hh.ru/vacancy/83447696?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Математик-Программист / Applied Scientist,,,,ООО Пиклема,"Москва, Каланчёвская и еще 2 ",https://chelyabinsk.hh.ru/vacancy/83412446?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
